Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Monitor Blanking V3\Project Outputs for Monitor Blanking V3\Assembly Outputs\Generates pick and place files.csv

========================================================================================================================
File Design Information:

Date:       10/06/25
Time:       08:57
Revision:   13d0d1832ee4d726e6588193f38371bacbd9417d
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C11","C0603-10uF-25V","TopLayer","CAP_CHIP_0603","40.5000","30.3750","0","0603 Multilayer Ceramic Capacitors MLCC"
"U4","TPS25961","TopLayer","WSON6","40.9500","27.9320","270","2.7-VกV19-V, 106-mฃ[, eFuse With Adjustable Current Limit and Short-Circuit"
"R15","R0603-47K","TopLayer","RES_CHIP_0603","41.8000","24.8250","270","100mW Thick Film Resistors 75V กำ100ppm/ขJ กำ1% 0603 Chip Resistor"
"R14","R0603-2K2","TopLayer","RES_CHIP_0603","41.0500","22.5750","180","100mW Thick Film Resistors 75V กำ100ppm/ขJ กำ1% 0603 Chip Resistor"
"R13","R0603-10K","TopLayer","RES_CHIP_0603","43.3000","24.8250","90","100mW Thick Film Resistors 75V กำ100ppm/ขJ กำ1% 0603 Chip Resistor"
"R12","R0603-39K","TopLayer","RES_CHIP_0603","40.3000","24.8250","90","100mW Thick Film Resistors 75V กำ100ppm/ขJ กำ1% 0603 Chip Resistor"
"R11","R0603-470K","TopLayer","RES_CHIP_0603","43.3000","27.8320","90","100mW Thick Film Resistors 75V กำ100ppm/ขJ กำ1% 0603 Chip Resistor"
"U3","LM5158","TopLayer","QFN16_3X3_0.5E_EP","30.2750","29.8500","270","5-A, 40-V, wide VIN boost, flyback, & SEPIC converter 16-WQFN -40 to 150"
"C7","C1210-10uF-63V","TopLayer","CAP_CHIP_1210","26.1500","31.9500","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 10uF 63volts *Derate Voltage/Temp"
"C6","C0603-100nF-100V","TopLayer","CAP_CHIP_0603","23.8000","29.6500","90","0603 0.1 uF 100 V กำ10% Tolerance X7R Multilayer Ceramic Capacitor"
"C3","EC125-220uF-63V","TopLayer","ECAP_SMD_D12.5_13.5L","15.6000","28.3750","270","Radial Can - SMD ALUMINUM ELECTROLYTIC CAPACITOR FK 63V 220muF 20% 0.492Dia 12.50mm"
